Stock-ticker,Company Name,Sector,Mkt Cap,Added
OTIS,Otis Worldwide,Machinery,35.76B,No
OVV,Ovintiv,"Oil, Gas & Consumable Fuels",10.83B,No
OXY,Occidental Petroleum,"Oil, Gas & Consumable Fuels",33.17B,No
PANW,Palo Alto Networks,Software,49.25B,No
PATH,UiPath,Software-Infrastructure,19.29B,No
PAYC,Paycom Software,Software,20.05B,No
PAYX,Paychex,IT Services,45.09B,No
PBA,Pembina Pipeline,"Oil, Gas & Consumable Fuels",17.79B,No
PBCT,People's United Financial,Banks,9.17B,No
PBR,Petroleo Brasileiro,"Oil, Gas & Consumable Fuels",82.24B,No
PBR.A,Petroleo Brasileiro,"Oil, Gas & Consumable Fuels",70.84B,No
PCAR,PACCAR,Machinery,33.50B,No
PCG,PG&E Corporation,Electric Utilities,29.27B,No
PCOR,Procore Technologies,Software-Application,9.03B,No
PCTY,Paylocity Holding,Software,10.81B,No
PDD,Pinduoduo,Internet & Direct Marketing Retail,75.71B,No
PEAK,Healthpeak Properties,Equity Real Estate Investment Trusts...,19.45B,No
PEG,Public Service Enterprise Group,Multi-Utilities,32.99B,No
PEN,Penumbra,Health Care Equipment & Supplies,8.88B,No
PEP,PepsiCo,Beverages,242.85B,No
PFE,Pfizer,Pharmaceuticals,308.43B,No
PFG,Principal Financial Group,Insurance,20.36B,No
PG,The Procter & Gamble Company,Household Products,386.73B,No
PGR,The Progressive Corporation,Insurance,64.14B,No
PH,Parker-Hannifin,Machinery,42.02B,No
PHG,Koninklijke Philips,Health Care Equipment & Supplies,30.29B,No
PHM,PulteGroup,Household Durables,14.45B,No
PINS,Pinterest,Interactive Media & Services,21.41B,No
PKG,Packaging Corporation of America,Containers & Packaging,13.04B,No
PKI,PerkinElmer,Life Sciences Tools & Services,22.52B,No
PKX,POSCO,Metals & Mining,19.05B,No
PLD,Prologis,Equity Real Estate Investment Trusts...,112.92B,No
PLTR,Palantir Technologies,Software,32.10B,No
PLUG,Plug Power,Electrical Equipment,13.51B,No
PM,Philip Morris International,Tobacco,160.95B,No
PNC,The PNC Financial Services Group,Banks,93.91B,No
PNFP,Pinnacle Financial Partners,Banks,8.41B,No
PNR,Pentair,Machinery,10.94B,No
PODD,Insulet,Health Care Equipment & Supplies,16.74B,No
POOL,Pool Corporation,Distributors,19.81B,No
PPG,PPG Industries,Chemicals,39.17B,No
PPL,PPL Corporation,Electric Utilities,22.50B,No
PRU,Prudential Financial,Insurance,44.38B,No
PSA,Public Storage,Equity Real Estate Investment Trusts...,63.44B,No
PSX,Phillips 66,"Oil, Gas & Consumable Fuels",38.82B,No
PSXP,Phillips 66 Partners LP,"Oil, Gas & Consumable Fuels",10.13B,No
PTC,PTC Inc.,Software,13.66B,No
PTON,Peloton Interactive,Leisure Products,10.35B,No
PTR,PetroChina Company,"Oil, Gas & Consumable Fuels",144.96B,No
PUK,Prudential,Insurance,49.85B,No
PWR,Quanta Services,Construction & Engineering,15.20B,No
PXD,Pioneer Natural Resources Company,"Oil, Gas & Consumable Fuels",52.66B,No
PYPL,PayPal Holdings,IT Services,209.63B,No
QCOM,Qualcomm,Semiconductors & Semiconductor Equipment,211.33B,No
QGEN,Qiagen,Life Sciences Tools & Services,11.02B,No
QRVO,Qorvo,Semiconductors & Semiconductor Equipment,16.39B,No
QS,QuantumScape,Auto Components,8.74B,No
QSR,Restaurant Brands International,"Hotels, Restaurants & Leisure",18.08B,No
RACE,Ferrari,Automobiles,45.11B,No
RBLX,Roblox,Electronic Gaming & Multimedia,45.76B,No
RCI,Rogers Communications,Wireless Telecommunication Services,25.14B,No
RCL,Royal Caribbean Cruises,"Hotels, Restaurants & Leisure",21.44B,No
RDS.A,Royal Dutch Shell,"Oil, Gas & Consumable Fuels",192.06B,No
RDS.B,Royal Dutch Shell,"Oil, Gas & Consumable Fuels",192.18B,No
RDY,Dr. Reddy's Laboratories,Pharmaceuticals,10.51B,No
RE,Everest Re Group,Insurance,11.43B,No
REG,Regency Centers,Equity Real Estate Investment Trusts...,12.98B,No
REGN,Regeneron Pharmaceuticals,Biotechnology,66.16B,No
RELX,Relx PLC,Professional Services,58.43B,No
REXR,Rexford Industrial Realty,Equity Real Estate Investment Trusts...,11.22B,No
RF,Regions Financial,Banks,24.22B,No
RGEN,Repligen,Life Sciences Tools & Services,10.69B,No
RH,RH,Specialty Retail,9.61B,No
RHI,Robert Half International,Professional Services,12.73B,No
RIO,Rio Tinto,Metals & Mining,122.10B,No
RIVN,Rivian Automotive,Auto Manufacturers,70.63B,No
RJF,Raymond James Financial,Capital Markets,22.53B,No
RKT,Rocket Companies,Thrifts & Mortgage Finance,26.67B,No
RL,Ralph Lauren,"Textiles, Apparel & Luxury Goods",8.45B,No
RMD,ResMed,Health Care Equipment & Supplies,36.75B,No
RNG,RingCentral,Software,16.50B,No
ROK,Rockwell Automation,Electrical Equipment,37.71B,No
ROKU,"Roku, Inc.",Entertainment,22.50B,No
ROL,Rollins,Commercial Services & Supplies,16.05B,No
ROP,Roper Technologies,Industrial Conglomerates,47.24B,No
ROST,Ross Stores,Specialty Retail,36.14B,No
RPM,RPM International,Chemicals,11.90B,No
RPRX,Royalty Pharma,Pharmaceuticals,17.03B,No
RRX,Regal Rexnord,Specialty Industrial Machinery,11.61B,No
RS,Reliance Steel & Aluminum Co.,Metals & Mining,10.42B,No
RSG,Republic Services,Commercial Services & Supplies,41.18B,No
RTX,Raytheon Technologies,Aerospace & Defense,138.20B,No
RY,Royal Bank of Canada,Banks,167.75B,No
RYAAY,Ryanair Holdings,Airlines,26.71B,No
S,SentinelOne,Software-Infrastructure,11.39B,No
SAN,Banco Santander,Banks,62.90B,No
SAP,SAP SE,Software,163.84B,No
SBAC,SBA Communications,Equity Real Estate Investment Trusts...,35.49B,No
SBNY,Signature Bank,Banks,22.15B,No
SBSW,Sibanye Stillwater,Metals & Mining,10.26B,No
SBUX,Starbucks,"Hotels, Restaurants & Leisure",117.46B,No
SC,Santander Consumer USA Holdings,Consumer Finance,12.75B,No
SCCO,Southern Copper,Metals & Mining,52.41B,No
SCHW,The Charles Schwab Corporation,Capital Markets,180.61B,No
SCI,Service Corporation International,Diversified Consumer Services,10.72B,No
SE,Sea Limited,Entertainment,97.62B,No
SEDG,SolarEdge Technologies,Semiconductors & Semiconductor Equipment,13.33B,No
SEE,Sealed Air,Containers & Packaging,10.03B,No
SEIC,SEI Investments Company,Capital Markets,8.74B,No
SGEN,Seagen,Biotechnology,25.07B,No
SHG,Shinhan Financial Group Co.,Banks,17.24B,No
SHOP,Shopify,IT Services,138.77B,No
SHW,The Sherwin-Williams Company,Chemicals,80.88B,No
SIRI,Sirius XM Holdings,Media,24.72B,No
SITE,SiteOne Landscape Supply,Trading Companies & Distributors,9.14B,No
SIVB,SVB Financial Group,Banks,41.34B,No
SJM,The J. M. Smucker Company,Food Products,15.73B,No
SJR,Shaw Communications,Media,15.12B,No
SKM,SK Telecom Co.,Wireless Telecommunication Services,10.44B,No
SLB,Schlumberger,Energy Equipment & Services,53.03B,No
SLF,Sun Life Financial,Insurance,33.81B,No
SMFG,Sumitomo Mitsui Financial Group,Banks,51.82B,No
SMG,The Scotts Miracle-Gro Company,Chemicals,9.00B,No
SNA,Snap-on,Machinery,11.78B,No
SNAP,"Snap, Inc.",Interactive Media & Services,61.24B,No
SNN,Smith & Nephew,Health Care Equipment & Supplies,15.34B,No
SNOW,Snowflake,IT Services,88.70B,No
SNP,China Petroleum & Chemical,"Oil, Gas & Consumable Fuels",76.86B,No
SNPS,Synopsys,Software,50.05B,No
SNX,Synnex,"Electronic Equipment, Instruments & C...",10.21B,No
SNY,Sanofi,Pharmaceuticals,130.37B,No
SO,The Southern Company,Electric Utilities,72.77B,No
SOFI,SoFi Technologies,Credit Services,10.56B,No
SONY,Sony Group,Household Durables,154.68B,No
SPG,Simon Property Group,Equity Real Estate Investment Trusts...,51.17B,No
SPGI,S&P Global,Capital Markets,104.20B,No
SPLK,Splunk,Software,19.47B,No
SPOT,Spotify Technology,Entertainment,41.87B,No
SQ,Block,IT Services,61.48B,No
SQM,Sociedad Quimica y Minera de Chile,Chemicals,16.15B,No
SRE,Sempra Energy,Multi-Utilities,44.06B,No
SSL,Sasol,Chemicals,11.98B,No
SSNC,SS&C Technologies Holdings,Software,21.23B,No
ST,Sensata Technologies Holding,Electrical Equipment,10.07B,No
STE,Steris,Health Care Equipment & Supplies,23.46B,No
STLA,Stellantis,Automobiles,68.16B,No
STLD,Steel Dynamics,Metals & Mining,12.35B,No
STM,STMicroelectronics,Semiconductors & Semiconductor Equipment,44.96B,No
STOR,STORE Capital,Equity Real Estate Investment Trusts...,9.12B,No
STT,State Street,Capital Markets,37.94B,No
STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",24.31B,No
STZ,Constellation Brands,Beverages,46.66B,No
SU,Suncor Energy,"Oil, Gas & Consumable Fuels",41.29B,No
SUI,Sun Communities,Equity Real Estate Investment Trusts...,22.94B,No
SUZ,Suzano,Paper & Forest Products,15.37B,No
SWK,Stanley Black & Decker,Machinery,31.41B,No
SWKS,Skyworks Solutions,Semiconductors & Semiconductor Equipment,25.74B,No
SYF,Synchrony Financial,Consumer Finance,26.64B,No
SYK,Stryker,Health Care Equipment & Supplies,100.61B,No
SYNA,Synaptics,Semiconductors & Semiconductor Equipment,9.64B,No
SYNH,Syneos Health,Life Sciences Tools & Services,9.33B,No
SYY,Sysco,Food & Staples Retailing,40.90B,No
T,"AT&T, Inc.",Diversified Telecommunication Services,194.09B,No
TAK,Takeda Pharmaceutical Company,Pharmaceuticals,45.95B,No
TAP,Molson Coors Beverage Company,Beverages,11.23B,No
TCOM,Trip.com Group,Internet & Direct Marketing Retail,15.56B,No
TD,The Toronto-Dominion Bank,Banks,149.45B,No
TDG,TransDigm Group,Aerospace & Defense,35.66B,No
TDOC,Teladoc Health,Health Care Technology,12.74B,No
TDY,Teledyne Technologies,Aerospace & Defense,19.62B,No
TEAM,Atlassian,Software,75.17B,No
TECH,Bio-Techne,Life Sciences Tools & Services,15.33B,No
TECK,Teck Resources,Metals & Mining,18.16B,No
TEF,Telefonica,Diversified Telecommunication Services,26.34B,No
TEL,TE Connectivity,"Electronic Equipment, Instruments & C...",52.40B,No
TER,Teradyne,Semiconductors & Semiconductor Equipment,26.83B,No
TEVA,Teva Pharmaceutical Industries,Pharmaceuticals,10.18B,No
TFC,Truist Financial,Banks,89.98B,No
TFII,TFI International,Road & Rail,9.02B,No
TFX,Teleflex,Health Care Equipment & Supplies,15.26B,No
TGT,Target,Multiline Retail,106.08B,No
THC,Tenet Healthcare,Health Care Providers & Services,8.68B,No
TJX,The TJX Companies,Specialty Retail,84.91B,No
TLK,Telkom Indonesia,Diversified Telecommunication Services,29.40B,No
TM,Toyota Motor,Automobiles,291.15B,No
TME,Tencent Music Entertainment Group,Entertainment,12.02B,No
TMO,Thermo Fisher Scientific,Life Sciences Tools & Services,234.38B,No
TMUS,T-Mobile US,Wireless Telecommunication Services,135.55B,No
TOST,Toast,Software-Infrastructure,12.72B,No
TPG,TPG Inc.,Asset Management,10.06B,No
TPL,Texas Pacific Land,"Oil, Gas & Consumable Fuels",8.61B,No
TPR,Tapestry,"Textiles, Apparel & Luxury Goods",10.56B,No
TREX,Trex Company,Building Products,12.31B,No
TRGP,Targa Resources,"Oil, Gas & Consumable Fuels",13.23B,No
TRI,Thomson Reuters,Professional Services,53.58B,No
TRMB,Trimble,"Electronic Equipment, Instruments & C...",19.06B,No
TROW,T. Rowe Price Group,Capital Markets,40.10B,No
TRP,TC Energy,"Oil, Gas & Consumable Fuels",49.25B,No
TRU,TransUnion,Professional Services,20.79B,No
TRV,The Travelers Companies,Insurance,40.15B,No
TS,Tenaris,Energy Equipment & Services,14.05B,No
TSCO,Tractor Supply Company,Specialty Retail,25.26B,No
TSLA,Tesla,Automobiles,"1,054.08B",No
TSM,Taiwan Semiconductor Manufacturing Company,Semiconductors & Semiconductor Equipment,729.46B,No
TSN,Tyson Foods,Food Products,34.04B,No
TT,Trane Technologies,Building Products,42.76B,No
TTC,The Toro Company,Machinery,10.30B,No
TTD,The Trade Desk,Software,38.86B,No
TTE,TotalEnergies SE,"Oil, Gas & Consumable Fuels",148.65B,No
TTM,Tata Motors,Automobiles,26.42B,No
TTWO,Take-Two Interactive Software,Entertainment,17.61B,No
TU,TELUS,Diversified Telecommunication Services,32.34B,No
TW,Tradeweb Markets,Capital Markets,18.53B,No
TWLO,Twilio,IT Services,38.37B,No
TWTR,Twitter,Interactive Media & Services,30.74B,No
TX,Ternium,Metals & Mining,9.14B,No
TXG,10X Genomics,Life Sciences Tools & Services,11.62B,No
TXN,Texas Instruments,Semiconductors & Semiconductor Equipment,172.71B,No
TXT,Textron,Aerospace & Defense,16.90B,No
TYL,Tyler Technologies,Software,19.69B,No
U,Unity Software,Software,34.46B,No
UA,Under Armour,"Textiles, Apparel & Luxury Goods",8.30B,No
UAA,Under Armour,"Textiles, Apparel & Luxury Goods",8.30B,No
UAL,United Airlines Holdings,Airlines,15.13B,No
UBER,Uber Technologies,Road & Rail,80.53B,No
UBS,UBS Group AG,Capital Markets,67.60B,No
UDR,"UDR, Inc.",Equity Real Estate Investment Trusts...,18.11B,No
UGI,UGI Corporation,Gas Utilities,9.68B,No
UHAL,Amerco,Road & Rail,13.26B,No
UHS,Universal Health Services,Health Care Providers & Services,10.74B,No
UI,Ubiquiti,Communications Equipment,18.84B,No
UL,Unilever,Personal Products,139.32B,No
ULTA,Ulta Beauty,Specialty Retail,20.27B,No
UMC,United Microelectronics,Semiconductors & Semiconductor Equipment,28.94B,No
UNH,UnitedHealth Group,Health Care Providers & Services,441.44B,No
UNP,Union Pacific,Road & Rail,158.32B,No
UPS,United Parcel Service,Air Freight & Logistics,179.51B,No
UPST,Upstart Holdings,Consumer Finance,9.11B,No
URI,United Rentals,Trading Companies & Distributors,23.73B,No
USB,U.S. Bancorp,Banks,93.79B,No
USFD,US Foods Holding,Food & Staples Retailing,8.23B,No
UTHR,United Therapeutics,Biotechnology,9.64B,No
UWMC,UWM Holdings,Mortgage Finance,9.18B,No
V,"Visa, Inc.",IT Services,466.65B,No
VALE,Vale S.A.,Metals & Mining,72.29B,No
VEEV,Veeva Systems,Health Care Technology,34.42B,No
VFC,VF Corporation,"Textiles, Apparel & Luxury Goods",28.38B,No
VIAC,ViacomCBS,Media,24.02B,No
VIACA,ViacomCBS,Media,24.02B,No
VICI,VICI Properties,Equity Real Estate Investment Trusts...,17.95B,No
VIV,Telefonica Brasil,Telecom Services,14.24B,No
VLO,Valero Energy,"Oil, Gas & Consumable Fuels",34.83B,No
VMC,Vulcan Materials Company,Construction Materials,25.51B,No
VMW,VMware,Software,52.53B,No
VNO,Vornado Realty Trust,Equity Real Estate Investment Trusts...,8.87B,No
VOD,Vodafone Group,Wireless Telecommunication Services,44.61B,No
VOYA,Voya Financial,Diversified Financial Services,8.27B,No
VRSK,Verisk Analytics,Professional Services,31.93B,No
VRSN,VeriSign,IT Services,25.16B,No
VRT,Vertiv Holdings Co.,Electrical Equipment & Parts,8.75B,No
VRTX,Vertex Pharmaceuticals,Biotechnology,59.51B,No
VST,Vistra,Independent Power and Renewable Elect...,10.90B,No
VTR,Ventas,Equity Real Estate Investment Trusts...,21.13B,No
VTRS,Viatris,Pharmaceuticals,18.41B,No
VZ,Verizon Communications,Diversified Telecommunication Services,223.66B,No
W,Wayfair,Internet & Direct Marketing Retail,17.93B,No
WAB,Westinghouse Air Brake Technologies,Machinery,17.88B,No
WAL,Western Alliance Bancorporation,Banks,12.75B,No
WAT,Waters,Life Sciences Tools & Services,20.37B,No
WB,Weibo,Interactive Media & Services,12.47B,No
WBA,Walgreens Boots Alliance,Food & Staples Retailing,46.88B,No
WBK,Westpac Banking,Banks,57.24B,No
WCN,Waste Connections,Commercial Services & Supplies,32.73B,No
WDAY,Workday,Software,63.58B,No
WDC,Western Digital,"Technology Hardware, Storage & Periph...",20.77B,No
WEC,WEC Energy Group,Multi-Utilities,30.36B,No
WELL,Welltower,Equity Real Estate Investment Trusts...,38.09B,No
WES,Western Midstream Partners LP,"Oil, Gas & Consumable Fuels",9.82B,No
WF,Woori Financial Group,Banks,9.23B,No
WFC,Wells Fargo & Company,Banks,231.50B,No
WFG,West Fraser Timber Company,Paper & Forest Products,10.43B,No
WHR,Whirlpool,Household Durables,13.18B,No
WIT,Wipro,IT Services,47.26B,No
WLK,Westlake Chemical,Chemicals,13.71B,No
WM,Waste Management,Commercial Services & Supplies,65.53B,No
WMB,The Williams Companies,"Oil, Gas & Consumable Fuels",35.59B,No
WMG,Warner Music Group,Entertainment,20.72B,No
WMS,Advanced Drainage Systems,Building Products,8.51B,No
WMT,Walmart,Food & Staples Retailing,402.38B,No
WOLF,Wolfspeed,Semiconductors,12.56B,No
WPC,WP Carey,Equity Real Estate Investment Trusts...,14.75B,No
WPM,Wheaton Precious Metals,Metals & Mining,17.92B,No
WPP,WPP plc,Media,18.79B,No
WRB,W.R. Berkley,Insurance,15.12B,No
WRK,WestRock Company,Containers & Packaging,12.34B,No
WSC,WillScot Mobile Mini Holdings,Construction & Engineering,8.57B,No
WSM,Williams-Sonoma,Specialty Retail,10.73B,No
WSO,Watsco,Trading Companies & Distributors,11.53B,No
WST,West Pharmaceutical Services,Health Care Equipment & Supplies,28.13B,No
WTRG,Essential Utilities,Water Utilities,12.49B,No
WTW,Willis Towers Watson,Insurance,29.57B,No
WY,Weyerhaeuser Company,Equity Real Estate Investment Trusts...,30.70B,No
WYNN,Wynn Resorts,"Hotels, Restaurants & Leisure",10.58B,No
XEL,Xcel Energy,Electric Utilities,37.15B,No
XLNX,Xilinx,Semiconductors & Semiconductor Equipment,49.19B,No
XM,Qualtrics International,Software-Application,15.53B,No
XOM,Exxon Mobil,"Oil, Gas & Consumable Fuels",306.22B,No
XP,XP Inc.,Capital Markets,16.08B,No
XPEV,XPeng,Automobiles,42.55B,No
XRAY,Dentsply Sirona,Health Care Equipment & Supplies,11.79B,No
XYL,Xylem,Machinery,20.11B,No
Y,Alleghany,Insurance,9.38B,No
YMM,Full Truck Alliance Co.,Software-Application,9.62B,No
YNDX,Yandex,Interactive Media & Services,18.77B,No
YUM,Yum! Brands,"Hotels, Restaurants & Leisure",37.25B,No
YUMC,Yum China Holdings,"Hotels, Restaurants & Leisure",19.92B,No
Z,Zillow Group,Interactive Media & Services,14.06B,No
ZBH,Zimmer Biomet Holdings,Health Care Equipment & Supplies,26.61B,No
ZBRA,Zebra Technologies,"Electronic Equipment, Instruments & C...",28.22B,No
ZEN,Zendesk,Software,12.21B,No
ZG,Zillow Group,Interactive Media & Services,14.06B,No
ZI,ZoomInfo Technologies,Interactive Media & Services,20.74B,No
ZION,Zions Bancorporation NA,Banks,11.05B,No
ZM,Zoom Video Communications,Software,47.60B,No
ZNGA,Zynga,Entertainment,10.13B,No
ZNH,China Southern Airlines Company,Airlines,16.62B,No
ZS,Zscaler,Software,35.68B,No
ZTO,ZTO Express (Cayman),Air Freight & Logistics,26.13B,No
ZTS,Zoetis,Pharmaceuticals,97.55B,No
